mE,M_phi
171,179570.7357503594
172,180095.01635903225
173,180617.7750633999
174,181139.0250398954
175,181658.77927590755
176,182177.05057355622
177,182693.8515533715
178,183209.19465787942
179,183723.09215509697
180,184235.55614193992
181,184746.59854754468
182,185256.2311365086
183,185764.46551204965
184,186271.3131190887
185,186776.78524725654
186,187280.893033828
187,187783.64746658472
188,188285.0593866097
189,188785.13949101456
190,189283.89833560228
191,189781.34633746685
192,190277.4937775316
193,190772.35080302836
194,191265.92742991884
195,191758.2335452597
196,192249.27890951335
197,192739.07315880575
198,193227.62580713248
199,193714.946248515
200,194201.0437591081
201,194685.92749925994
202,195169.6065155261
203,195652.08974263887
204,196133.38600543264
205,196613.5040207274
206,197092.4523991704
207,197570.23964703805
208,198046.87416799826
209,198522.36426483528
210,198996.7181411369
211,199469.94390294576
212,199942.0495603756
213,200413.04302919304
214,200882.93213236603
215,201351.72460157992
216,201819.4280787217
217,202286.0501173333
218,202751.59818403487
219,203216.07965991893
220,203679.5018419154
221,204141.8719441292
222,204603.19709915033
223,205063.48435933786
224,205522.74069807745
225,205980.97301101394
226,206438.18811725953
227,206894.39276057764
228,207349.59361054315
229,207803.7972636803
230,208257.01024457783
231,208709.2390069826
232,209160.4899348715
233,209610.7693435032
234,210060.08348044904
235,210508.43852660462
236,210955.84059718146
237,211402.29574268044
238,211847.80994984612
239,212292.38914260358
240,212736.03918297734
241,213178.76587199303
242,213620.5749505625
243,214061.47210035217
244,214501.46294463574
245,214940.55304913069
246,215378.74792281966
247,215816.05301875703
248,216252.47373486045
249,216688.01541468827
250,217122.6833482029
251,217556.48277252025
252,217989.41887264603
253,218421.49678219878
254,218852.72158411998
255,219283.09831137172
256,219712.63194762202
257,220141.3274279181
258,220569.18963934778
259,220996.22342168976
260,221422.43356805193
261,221847.82482549938
262,222272.40189567092
263,222696.16943538561
264,223119.13205723843
265,223541.29433018618
266,223962.66078012338
267,224383.2358904479
268,224803.02410261807
269,225222.02981669956
270,225640.2573919034
271,226057.71114711542
272,226474.39536141616
273,226890.31427459288
274,227305.4720876427
275,227719.87296326782
276,228133.52102636223
277,228546.42036449097
278,228958.5750283611
279,229369.9890322857
280,229780.66635463948
281,230190.61093830815
282,230599.82669112974
283,231008.31748632932
284,231416.0871629466
285,231823.13952625688
286,232229.47834818554
287,232635.10736771542
288,233040.0302912886
289,233444.2507932013
290,233847.7725159928
291,234250.59907082864
292,234652.73403787738
293,235054.18096668183
294,235454.9433765249
295,235855.0247567891
296,236254.4285673112
297,236653.15823873135
298,237051.21717283677
299,237448.6087429003
300,237845.33629401392
301,238241.40314341738
302,238636.81258082163
303,239031.56786872767
304,239425.6722427406
305,239819.12891187906
306,240211.94105887992
307,240604.11184049878
308,240995.64438780595
309,241386.54180647785
310,241776.80717708488
311,242166.4435553741
312,242555.4539725488
313,242943.84143554323
314,243331.60892729415
315,243718.75940700792
316,244105.29581042382
317,244491.22105007395
318,244876.53801553926
319,245261.24957370193
320,245645.35856899404
321,246028.8678236433
322,246411.78013791455
323,246794.0982903486
324,247175.82503799733
325,247556.96311665568
326,247937.5152410903
327,248317.48410526523
328,248696.87238256447
329,249075.68272601112
330,249453.91776848424
331,249831.5801229319
332,250208.67238258212
333,250585.1971211504
334,250961.15689304465
335,251336.55423356764
336,251711.39165911605
337,252085.67166737755
338,252459.39673752477
339,252832.5693304071
340,253205.19188873953
341,253577.2668372893
342,253948.7965830599
343,254319.78351547293
344,254690.23000654686
345,255060.1384110748
346,255429.51106679827
347,255798.3502945802
348,256166.6583985745
349,256534.43766639466
350,256901.69036927872
351,257268.41876225374
352,257634.62508429654
353,258000.31155849376
354,258365.48039219907
355,258730.13377718846
356,259094.2738898141
357,259457.9028911555
358,259821.02292716934
359,260183.63612883727
360,260545.74461231145
361,260907.35047905907
362,261268.45581600437
363,261629.06269566918
364,261989.17317631183
365,262348.7893020639
366,262707.9131030659
367,263066.5465956009
368,263424.69178222655
369,263782.3506519053
370,264139.52518013376
371,264496.2173290696
372,264852.42904765747
373,265208.16227175324
374,265563.4189242465
375,265918.2009151823
376,266272.51014188025
377,266626.3484890538
378,266979.7178289262
379,267332.620021347
380,267685.0569139056
381,268037.03034204425
382,268388.5421291698
383,268739.5940867636
384,269090.1880144906
385,269440.32570030686
386,269790.00892056606
387,270139.2394401244
388,270488.01901244494
389,270836.34937969974
390,271184.2322728718
391,271531.66941185546
392,271878.6625055551
393,272225.2132519837
394,272571.3233383596
395,272916.9944412024
396,273262.22822642745
397,273607.02634943987
398,273951.3904552268
399,274295.3221784493
400,274638.8231435326
401,274981.8949647558
402,275324.5392463402
403,275666.75758253696
404,276008.5515577134
405,276349.92274643906
406,276690.87271356967
407,277031.4030143315
408,277371.5151944034
409,277711.21078999946
410,278050.4913279492
411,278389.3583257782
412,278727.81329178694
413,279065.8577251292
414,279403.4931158896
415,279740.72094516025
416,280077.54268511635
417,280413.9597990914
418,280749.9737416512
419,281085.58595866733
420,281420.7978873896
421,281755.610956518
422,282090.0265862737
423,282424.04618846916
424,282757.671166578
425,283090.9029158035
426,283423.7428231467
427,283756.19226747396
428,284088.25261958333
429,284419.92524227075
430,284751.211490395
431,285082.11271094263
432,285412.63024309144
433,285742.765418274
434,286072.51956024027
435,286401.89398511907
436,286730.8900014801
437,287059.50891039387
438,287387.7520054921
439,287715.62057302706
440,288043.11589193036
441,288370.2392338712
442,288696.99186331383
443,289023.3750375748
444,289349.3900068791
445,289675.0380144164
446,290000.3202963959
447,290325.2380821017
448,290649.7925939461
449,290973.98504752433
450,291297.81665166677
451,291621.2886084918
452,291944.4021134583
453,292267.15835541656
454,292589.55851665954
455,292911.6037729735
456,293233.295293688
457,293554.63424172543
458,293875.62177364976
459,294196.2590397156
460,294516.54718391586
461,294836.48734402965
462,295156.08065166924
463,295475.3282323269
464,295794.23120542103
465,296112.79068434204
466,296431.0077764975
467,296748.88358335744
468,297066.41920049844
469,297383.61571764783
470,297700.4742187272
471,298016.9957818961
472,298333.181479594
473,298649.0323785834
474,298964.5495399916
475,299279.7340193521
476,299594.586866646
477,299909.10912634275
478,300223.3018374406
479,300537.16603350657
480,300850.70274271606
481,301163.9129878924
482,301476.7977865456
483,301789.35815091076
484,302101.5950879865
485,302413.5095995729
486,302725.10268230864
487,303036.3753277084
488,303347.3285221996
489,303657.96324715903
490,303968.28047894867
491,304278.2811889516
492,304587.96634360775
493,304897.33690444863
494,305206.3938281325
495,305515.1380664786
496,305823.5705665016
497,306131.6922704453
498,306439.5041158162
499,306747.00703541696
500,307054.20195737935
501,307361.0898051967
502,307667.67149775644
503,307973.9479493723
504,308279.92006981594
505,308585.5887643486
506,308890.9549337522
507,309196.01947436045
508,309500.7832780896
509,309805.24723246857
510,310109.4122206695
511,310413.2791215372
512,310716.84880961914
513,311020.12215519464
514,311323.100024304
515,311625.7832787773
516,311928.17277626327
517,312230.26937025704
518,312532.07391012897
519,312833.58724115207
520,313134.8102045296
521,313435.74363742274
522,313736.38837297744
523,314036.7452403514
524,314336.81506474095
525,314636.59866740706
526,314936.09686570225
527,315235.3104730958
528,315534.24029920006
529,315832.88714979583
530,316131.2518268577
531,316429.33512857923
532,316727.1378493977
533,317024.6607800191
534,317321.9047074424
535,317618.87041498366
536,317915.5586823006
537,318211.97028541623
538,318508.1059967422
539,318803.9665851031
540,319099.5528157587
541,319394.8654504278
542,319689.90524731105
543,319984.6729611134
544,320279.1693430667
545,320573.3951409521
546,320867.35109912214
547,321161.0379585229
548,321454.4564567154
549,321747.6073278976
550,322040.49130292574
551,322333.10910933535
552,322625.4614713627
553,322917.5491099654
554,323209.3727428432
555,323500.93308445887
556,323792.2308460581
557,324083.26673569035
558,324374.0414582282
559,324664.5557153878
560,324954.81020574865
561,325244.8056247728
562,325534.54266482446
563,325824.0220151896
564,326113.24436209444
565,326402.2103887252
566,326690.9207752464
567,326979.3761988195
568,327267.5773336216
569,327555.524850864
570,327843.2194188102
571,328130.6617027939
572,328417.8523652372
573,328704.7920656682
574,328991.481460739
575,329277.9212042428
576,329564.11194713134
577,329850.05433753267
578,330135.7490207677
579,330421.1966393674
580,330706.39783308964
581,330991.35323893616
582,331276.06349116855
583,331560.5292213254
584,331844.75105823827
585,332128.72962804796
586,332412.4655542207
587,332695.95945756405
588,332979.21195624257
589,333262.22366579395
590,333544.99519914424
591,333827.5271666234
592,334109.82017598103
593,334391.8748324011
594,334673.6917385173
595,334955.2714944283
596,335236.6146977121
597,335517.7219434416
598,335798.5938241984
599,336079.2309300881
600,336359.6338487544
601,336639.8031653934
602,336919.73946276837
603,337199.443321223
604,337478.9153186963
605,337758.15603073593
606,338037.1660305125
607,338315.9458888329
608,338594.49617415416
609,338872.8174525968
610,339150.9102879584
611,339428.77524172683
612,339706.41287309356
613,339983.8237389668
614,340261.0083939844
615,340537.9673905268
616,340814.70127873
617,341091.21060649824
618,341367.4959195168
619,341643.55776126403
620,341919.3966730245
621,342195.0131939011
622,342470.4078608272
623,342745.58120857907
624,343020.53376978775
625,343295.2660749513
626,343569.77865244675
627,343844.0720285418
628,344118.1467274066
629,344392.00327112555
630,344665.6421797088
631,344939.0639711039
632,345212.269161207
633,345485.25826387457
634,345758.0317909343
635,346030.5902521964
636,346302.934155465
637,346575.0640065485
638,346846.9803092716
639,347118.6835654852
640,347390.1742750775
641,347661.452935985
642,347932.5200442029
643,348203.37609379564
644,348474.0215769076
645,348744.4569837733
646,349014.6828027281
647,349284.69952021807
648,349554.5076208105
649,349824.1075872038
650,350093.4999002381
651,350362.6850389045
652,350631.6634803556
653,350900.4356999149
654,351169.00217108714
655,351437.3633655677
656,351705.51975325216
657,351973.4718022461
658,352241.21997887455
659,352508.76474769163
660,352776.1065714896
661,353043.2459113086
662,353310.1832264457
663,353576.9189744639
664,353843.4536112017
665,354109.7875907822
666,354375.92136562156
667,354641.85538643855
668,354907.5901022634
669,355173.1259604461
670,355438.4634066657
671,355703.60288493923
672,355968.54483762966
673,356233.2897054551
674,356497.8379274971
675,356762.1899412091
676,357026.34618242516
677,357290.3070853678
678,357554.0730826572
679,357817.6446053185
680,358081.02208279056
681,358344.2059429342
682,358607.19661203993
683,358869.9945148361
684,359132.6000744975
