mE,M_phi
125,151549.2911857029
126,152154.26244700523
127,152756.83773485708
128,153357.0452922619
129,153954.91281167488
130,154550.4674499112
131,155143.73584254002
132,155734.7441177842
133,156323.51790994767
134,156910.0823723888
135,157494.46219005948
136,158076.6815916264
137,158656.7643611923
138,159234.73384963308
139,159810.6129855655
140,160384.42428596056
141,160956.1898664166
142,161525.9314511048
143,162093.67038240013
144,162659.4276302098
145,163223.22380101078
146,163785.0791466072
147,164345.01357261807
148,164903.04664670624
149,165459.1976065569
150,166013.4853676159
151,166565.92853059634
152,167116.5453887614
153,167665.35393499242
154,168212.37186864926
155,168757.61660223015
156,169301.10526783927
157,169842.85472346723
158,170382.8815590924
159,170921.20210260854
160,171457.83242558475
161,171992.78834886412
162,172526.08544800567
163,173057.73905857568
164,173587.76428129282
165,174116.17598703294
166,174642.9888216967
167,175168.21721094626
168,175691.87536481398
169,176213.9772821882
170,176734.53675517938
171,177253.56737337133
172,177771.0825279602
173,178287.0954157858
174,178801.6190432578
175,179314.66623018094
176,179826.24961348166
177,180336.38165083982
178,180845.07462422803
179,181352.34064336188
180,181858.19164906337
181,182362.6394165402
182,182865.69555858415
183,183367.37152868998
184,183867.67862409796
185,184366.6279887622
186,184864.23061624664
187,185360.49735255115
188,185855.43889886985
189,186349.06581428327
190,186841.38851838672
191,187332.41729385627
192,187822.16228895457
193,188310.6335199778
194,188797.84087364588
195,189283.79410943703
196,189768.50286186876
197,190251.97664272654
198,190734.22484324136
199,191215.25673621826
200,191695.08147811636
201,192173.7081110827
202,192651.14556493988
203,193127.40265913022
204,193602.48810461635
205,194076.41050574003
206,194549.17836204046
207,195020.8000700327
208,195491.28392494746
209,195960.63812243342
210,196428.8707602227
211,196895.98983976129
212,197362.0032678038
213,197826.91885797528
214,198290.74433229954
215,198753.48732269567
216,199215.15537244309
217,199675.75593761614
218,200135.29638848905
219,200593.78401091197
220,201051.22600765844
221,201507.6294997458
222,201963.00152772834
223,202417.34905296456
224,202870.6789588587
225,203322.99805207737
226,203774.31306374192
227,204224.63065059728
228,204673.95739615717
229,205122.29981182728
230,205569.66433800606
231,206016.05734516404
232,206461.48513490224
233,206905.95394099015
234,207349.46993038326
235,207792.0392042217
236,208233.66779880924
237,208674.36168657368
238,209114.12677700957
239,209552.96891760227
240,209990.89389473552
241,210427.9074345812
242,210864.0152039731
243,211299.2228112641
244,211733.53580716773
245,212166.95968558404
246,212599.49988441044
247,213031.1617863376
248,213461.95071963096
249,213891.87195889815
250,214320.9307258424
251,214749.13219000233
252,215176.48146947887
253,215602.98363164873
254,216028.64369386554
255,216453.46662414845
256,216877.45734185856
257,217300.62071836373
258,217722.96157769108
259,218144.4846971691
260,218565.19480805786
261,218985.09659616838
262,219404.194702472
263,219822.4937236984
264,220239.99821292385
265,220656.71268014962
266,221072.64159287015
267,221487.7893766319
268,221902.16041558274
269,222315.75905301198
270,222728.58959188167
271,223140.65629534877
272,223551.96338727864
273,223962.51505275053
274,224372.31543855395
275,224781.36865367764
276,225189.67876978996
277,225597.24982171218
278,226004.08580788298
279,226410.19069081667
280,226815.56839755317
281,227220.22282010107
282,227624.1578158737
283,228027.3772081179
284,228429.88478633633
285,228831.68430670307
286,229232.7794924724
287,229633.17403438129
288,230032.8715910457
289,230431.87578935063
290,230830.190224834
291,231227.81846206452
292,231624.76403501423
293,232021.0304474245
294,232416.62117316714
295,232811.53965659943
296,233205.78931291433
297,233599.37352848472
298,233992.29566120284
299,234384.5590408147
300,234776.1669692489
301,235167.12272094123
302,235557.42954315396
303,235947.09065629053
304,236336.10925420545
305,236724.48850450982
306,237112.23154887214
307,237499.34150331508
308,237885.82145850704
309,238271.67448005066
310,238656.90360876612
311,239041.51186097082
312,239425.50222875492
313,239808.87768025298
314,240191.64115991138
315,240573.79558875252
316,240955.34386463443
317,241336.28886250756
318,241716.63343466722
319,242096.38041100278
320,242475.53259924348
321,242854.0927852004
322,243232.06373300537
323,243609.44818534632
324,243986.24886369973
325,244362.46846855932
326,244738.10967966175
327,245113.17515620976
328,245487.66753709142
329,245861.5894410967
330,246234.94346713138
331,246607.7321944275
332,246979.9581827515
333,247351.62397260914
334,247722.73208544764
335,248093.28502385554
336,248463.28527175947
337,248832.7352946182
338,249201.63753961454
339,249569.99443584454
340,249937.80839450366
341,250305.08180907133
342,250671.81705549243
343,251038.01649235675
344,251403.6824610757
345,251768.8172860573
346,252133.42327487835
347,252497.5027184545
348,252861.05789120833
349,253224.09105123513
