mE,M_phi
491,184812.19601476777
492,185000.28050724984
493,185188.17389827955
494,185375.87676894703
495,185563.38969740336
496,185750.71325888095
497,185937.84802571472
498,186124.79456736188
499,186311.55345042254
500,186498.12523865965
501,186684.5104930187
502,186870.70977164758
503,187056.72362991612
504,187242.55262043505
505,187428.19729307567
506,187613.65819498833
507,187798.93587062156
508,187984.03086174073
509,188168.94370744616
510,188353.67494419197
511,188538.22510580375
512,188722.59472349685
513,188906.7843258941
514,189090.7944390435
515,189274.62558643584
516,189458.2782890219
517,189641.75306522968
518,189825.05043098176
519,190008.17089971184
520,190191.11498238172
521,190373.88318749797
522,190556.47602112815
523,190738.8939869176
524,190921.13758610518
525,191103.20731753964
526,191285.10367769538
527,191466.82716068844
528,191648.37825829186
529,191829.7574599515
530,192010.9652528012
531,192192.0021216782
532,192372.8685491382
533,192553.56501547035
534,192734.0919987122
535,192914.44997466428
536,193094.63941690497
537,193274.66079680488
538,193454.51458354117
539,193634.2012441118
540,193813.72124334998
541,193993.07504393777
542,194172.26310642026
543,194351.2858892192
544,194530.14384864693
545,194708.8374389196
546,194887.36711217096
547,195065.73331846553
548,195243.93650581167
549,195421.9771201751
550,195599.85560549167
551,195777.5724036802
552,195955.12795465553
553,196132.52269634104
554,196309.75706468118
555,196486.83149365423
556,196663.74641528446
557,196840.50225965455
558,197017.09945491777
559,197193.53842730992
560,197369.8196011616
561,197545.94339890985
562,197721.9102411102
563,197897.72054644822
564,198073.37473175107
565,198248.8732119993
566,198424.21640033807
567,198599.40470808852
568,198774.438544759
569,198949.3183180564
570,199124.04443389704
571,199298.6172964178
572,199473.03730798687
573,199647.30486921468
574,199821.4203789646
575,199995.38423436368
576,200169.19683081293
577,200342.85856199823
578,200516.36981990034
579,200689.73099480546
580,200862.9424753153
581,201036.0046483574
582,201208.91789919516
583,201381.68261143778
584,201554.2991670502
585,201726.76794636302
586,201899.08932808228
587,202071.263689299
588,202243.291405499
589,202415.17285057236
590,202586.90839682284
591,202758.49841497742
592,202929.94327419563
593,203101.24334207858
594,203272.39898467847
595,203443.4105665074
596,203614.2784505468
597,203785.00299825607
598,203955.58456958167
599,204126.02352296596
600,204296.32021535587
601,204466.47500221184
602,204636.48823751629
603,204806.3602737822
604,204976.09146206174
605,205145.68215195482
606,205315.13269161712
607,205484.44342776886
608,205653.6147057028
609,205822.64686929248
610,205991.5402610006
611,206160.2952218867
612,206328.91209161567
613,206497.3912084653
614,206665.73290933447
615,206833.9375297509
616,207002.005403879
617,207169.9368645275
618,207337.7322431573
619,207505.39186988896
620,207672.9160735104
621,207840.30518148426
622,208007.5595199556
623,208174.679413759
624,208341.66518642617
625,208508.51716019327
626,208675.23565600786
627,208841.8209935365
628,209008.27349117157
629,209174.59346603864
630,209340.7812340033
631,209506.83710967816
632,209672.76140643
633,209838.55443638653
634,210004.21651044322
635,210169.74793827
636,210335.1490283185
637,210500.42008782795
638,210665.5614228326
639,210830.5733381679
640,210995.4561374771
641,211160.210123218
642,211324.83559666917
643,211489.33285793648
644,211653.70220595947
645,211817.9439385176
646,211982.0583522368
647,212146.04574259545
648,212309.90640393062
649,212473.64062944436
650,212637.24871120977
651,212800.73094017702
652,212964.0876061794
653,213127.31899793935
654,213290.4254030745
655,213453.40710810333
656,213616.26439845117
657,213778.9975584562
658,213941.606871375
659,214104.09261938836
660,214266.45508360708
661,214428.6945440775
662,214590.81127978733
663,214752.80556867106
664,214914.67768761556
665,215076.42791246565
666,215238.05651802963
667,215399.56377808456
668,215560.9499653818
669,215722.21535165227
670,215883.3602076121
671,216044.3848029674
672,216205.28940642002
673,216366.07428567245
674,216526.73970743324
675,216687.28593742193
676,216847.71324037452
677,217008.02188004818
678,217168.2121192265
679,217328.28421972445
680,217488.23844239357
681,217648.07504712668
682,217807.79429286276
683,217967.3964375922
684,218126.88173836132
685,218286.2504512773
686,218445.50283151303
687,218604.6391333118
688,218763.65960999217
689,218922.5645139525
690,219081.35409667564
691,219240.0286087337
692,219398.58829979255
693,219557.03341861657
694,219715.36421307287
695,219873.5809301361
696,220031.68381589293
697,220189.67311554638
698,220347.54907342035
699,220505.3119329639
700,220662.96193675583
701,220820.4993265089
702,220977.92434307418
703,221135.23722644517
704,221292.43821576258
705,221449.52754931792
706,221606.50546455823
707,221763.37219808987
708,221920.12798568295
709,222076.77306227546
710,222233.3076619772
711,222389.73201807393
712,222546.04636303152
713,222702.2509284999
714,222858.34594531704
715,223014.331643513
716,223170.2082523138
717,223325.97600014546
718,223481.63511463776
719,223637.1858226282
720,223792.62835016602
721,223947.96292251558
722,224103.1897641607
723,224258.3090988081
724,224413.3211493912
725,224568.22613807404
726,224723.02428625475
727,224877.71581456938
728,225032.30094289558
729,225186.77989035627
730,225341.15287532302
731,225495.42011542
732,225649.5818275273
733,225803.6382277846
734,225957.5895315947
735,226111.435953627
736,226265.177707821
737,226418.81500738973
738,226572.3480648233
739,226725.77709189232
740,226879.1022996511
741,227032.32389844133
742,227185.44209789525
743,227338.45710693905
744,227491.36913379625
745,227644.17838599088
746,227796.88507035087
747,227949.48939301132
748,228101.9915594176
749,228254.3917743288
750,228406.69024182073
751,228558.88716528928
752,228710.98274745347
753,228862.97719035856
754,229014.87069537933
755,229166.66346322317
756,229318.35569393297
757,229469.94758689046
758,229621.43934081908
759,229772.83115378715
760,229924.12322321083
761,230075.315745857
762,230226.4089178465
763,230377.4029346569
764,230528.2979911255
765,230679.0942814524
766,230829.79199920304
767,230980.39133731154
768,231130.8924880834
769,231281.29564319822
770,231431.60099371275
771,231581.80873006367
772,231731.9190420703
773,231881.9321189376
774,232031.84814925873
775,232181.66732101797
776,232331.38982159336
777,232481.01583775954
778,232630.54555569036
779,232779.97916096178
780,232929.3168385542
781,233078.55877285553
782,233227.7051476635
