mE,mPhi,delta
1,409.70805942286415,2.2178361002251613e-09
1,382.93622589257564,2.5387229168228848e-09
1,389.0428406461141,2.4596644591500965e-09
1,394.3687242195583,2.3936899338120624e-09
1,409.4793323484234,2.220314063321068e-09
1,388.3502422886802,2.4684440095477598e-09
1,376.6239004465752,2.6245191047479494e-09
1,394.88088920940004,2.3874857637622483e-09
1,389.1716100516813,2.45803731023695e-09
1,362.5884518180027,2.831594360415154e-09
1,391.2368273300262,2.4321599929517226e-09
1,413.09163621006286,2.181658770731452e-09
1,384.6107148859588,2.5166692951978418e-09
1,426.0447623705843,2.0510365238984396e-09
1,428.04408886759717,2.0319240390164913e-09
1,371.25224931863204,2.7010019095944442e-09
1,401.78935979020576,2.3061033336950248e-09
1,424.93592373008477,2.061752892223598e-09
1,360.0357971552852,2.8718803779062233e-09
1,410.58547696496436,2.2083687864432082e-09
1,393.7229465801172,2.4015471648227136e-09
1,428.0645708026298,2.0317296271632546e-09
1,358.5000164911605,2.896533675185678e-09
1,416.78530109618254,2.1431673416353744e-09
1,394.6250848814606,2.3905814603169517e-09
1,427.6719700831336,2.035461006129598e-09
1,396.18227060229884,2.3718294074263794e-09
1,384.4363455582111,2.5189523708599923e-09
1,423.71642034561967,2.073636042254444e-09
1,417.3234327978255,2.137644625751825e-09
1,403.8667990072873,2.2824437386414732e-09
1,355.7053338071524,2.942217403223019e-09
1,427.2272091789619,2.0397005605160295e-09
1,397.9394376325947,2.3509328650821842e-09
1,392.2091739487925,2.4201176866361104e-09
1,358.52210508104383,2.8961768489994395e-09
1,358.73818686436584,2.8926896689477736e-09
1,354.026444909833,2.970183182418602e-09
1,389.02335891427396,2.4599107738415793e-09
1,405.0871564645938,2.268714667294915e-09
1,416.84995075910706,2.142502727343145e-09
1,375.47079599685213,2.6406610235355447e-09
1,366.6375521270759,2.7694086020904924e-09
1,416.94275839418555,2.141549182532916e-09
1,406.2442135753115,2.2558118038625087e-09
1,377.2275409780714,2.6161278980293926e-09
1,406.9806510498108,2.247656697520403e-09
1,394.4148440643847,2.3931302655519865e-09
1,414.1666519937529,2.1703498145553356e-09
1,418.0023670882865,2.1307072889201716e-09
1,410.13917547355953,2.2131767773094066e-09
1,418.8346632959297,2.122248879041689e-09
2,365.7588581476448,2.781207134167897e-09
2,402.71432518344636,2.2944642883477876e-09
2,408.0024476688708,2.235405804440179e-09
2,368.89507195368077,2.734150057825941e-09
2,361.01182555816416,2.854778182195534e-09
2,367.4835593919208,2.7551800381736664e-09
2,384.38966484804195,2.5183018726045595e-09
2,373.86379333994756,2.6620054724866396e-09
2,422.7267538056021,2.0824723845860188e-09
2,369.21427994201304,2.7294275920721734e-09
2,394.7412726111898,2.3880323548455115e-09
2,414.2242815784551,2.1687930233793832e-09
2,391.59778863082016,2.426501974071309e-09
2,422.8331643573691,2.0814249172258534e-09
2,412.3638506034672,2.1883958853338408e-09
2,384.84989219540586,2.51228614236516e-09
2,385.60408305313985,2.502474447359724e-09
2,366.3404283656457,2.7723897286190352e-09
2,369.3697082456109,2.7271325629141375e-09
2,388.3307740963874,2.467476702497876e-09
2,400.00438093532637,2.3256404174250406e-09
2,386.09926660823254,2.4960635459663378e-09
2,387.3358226713228,2.4801615970971097e-09
2,377.64314128822843,2.6090249612668762e-09
2,410.7097490139949,2.2060487364777798e-09
2,364.91888882882614,2.7940166536161627e-09
2,376.68988978995026,2.6222379106392897e-09
2,354.57520342716606,2.9592894569599265e-09
2,409.35697435404273,2.2206450146325755e-09
2,384.6802305969782,2.5145013148782127e-09
2,383.6396154541002,2.5281523257368683e-09
2,353.85074961841383,2.9714104703633887e-09
2,423.07679716713756,2.079029656804037e-09
2,368.06759044079735,2.7464492976330077e-09
2,424.17472202324393,2.0682866048156084e-09
2,403.7684664651984,2.282506207655403e-09
2,375.8144131290233,2.6344614365554787e-09
2,400.6993340222292,2.3175851430124254e-09
2,394.1030671073544,2.395768285999691e-09
2,374.34131005302635,2.6552228353962474e-09
